Title,Price,Condition
"Nineteen Eighty-Four","9.69","Very Good"
"Harry Potter and the Sorcerer's Stone","7.49","Good"
"To Kill a Mockingbird","16.39","Good"
"Fahrenheit 451","7.49","Good"
"The Hunger Games","4.79","Good"
"Animal Farm: A Fairy Story","6.29","Acceptable"
"The Alchemist","8.19","Good"
"Where the Crawdads Sing","4.89","Good"
"Harry Potter and the Chamber of Secrets","4.29","Good"
"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book","5.69","Good"
"Harry Potter and the Prisoner of Azkaban","5.39","Good"
"It Ends with Us","4.69","Good"
"The Handmaid's Tale","18.59","Like New"
"Catching Fire","6.69","Good"
"The Hobbit","20.79","Good"
"How to Win Friends and Influence People","6.49","Good"
"The Great Gatsby","6.49","Good"
"Verity","5.89","Good"
"Mockingjay","7.69","Acceptable"
"Harry Potter and the Goblet of Fire","10.09","Good"
"Harry Potter and the Deathly Hallows","11.19","Acceptable"
"Charlotte's Web","4.49","Good"
"The Giver","4.99","Good"
"Pride and Prejudice","29.09","Very Good"
"The Seven Husbands of Evelyn Hugo","6.29","Good"
"Harry Potter and the Half-Blood Prince","8.19","Good"
"All the Light We Cannot See","4.89","Good"
"The Lion, the Witch and the Wardrobe","4.19","Good"
"Green Eggs and Ham","6.39","Good"
"Man's Search for Meaning","7.99","Good"
"The Book Thief","4.69","Good"
"Twilight","9.49","Good"
"Oh, the Thinks You Can Think!","4.19","Good"
"Educated","4.39","Good"
"Lord of the Flies","6.19","Good"
"Anne Frank: The Diary of a Young Girl","18.99","Very Good"
"The Silent Patient","6.69","Good"
"The Nightingale","7.79","Good"
"The Power of Now: A Guide to Spiritual Enlightenment","6.49","Good"
"Before We Were Yours","4.39","Good"
"Brave New World","7.49","Good"
"It Starts with Us","4.89","Good"
"Mere Christianity","6.09","Good"
"Hillbilly Elegy: A Memoir of a Family and Culture in Crisis","5.69","Good"
"Wuthering Heights","5.09","Good"
"Rich Dad, Poor Dad","6.89","Good"
"One Fish, Two Fish, Red Fish, Blue Fish","4.19","Good"
"How the Grinch Stole Christmas!","8.19","Good"
"Harry Potter and the Order of the Phoenix","5.49","Acceptable"
"The Lightning Thief","4.39","Good"
"Nineteen Eighty-Four","9.69","Very Good"
"Harry Potter and the Sorcerer's Stone","7.49","Good"
"To Kill a Mockingbird","16.39","Good"
"Fahrenheit 451","7.49","Good"
"The Hunger Games","4.79","Good"
"Animal Farm: A Fairy Story","6.29","Acceptable"
"The Alchemist","8.19","Good"
"Harry Potter and the Chamber of Secrets","4.29","Good"
"Where the Crawdads Sing","4.89","Good"
"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book","5.69","Good"
"Harry Potter and the Prisoner of Azkaban","5.39","Good"
"It Ends with Us","4.69","Good"
"The Handmaid's Tale","18.59","Like New"
"Catching Fire","6.69","Good"
"The Hobbit","20.79","Good"
"How to Win Friends and Influence People","6.49","Good"
"The Great Gatsby","6.49","Good"
"Verity","5.89","Good"
"Mockingjay","7.69","Acceptable"
"Harry Potter and the Goblet of Fire","10.09","Good"
"The Giver","4.99","Good"
"Charlotte's Web","4.49","Good"
"Harry Potter and the Deathly Hallows","11.19","Acceptable"
"Pride and Prejudice","29.09","Very Good"
"The Seven Husbands of Evelyn Hugo","6.29","Good"
"Harry Potter and the Half-Blood Prince","8.19","Good"
"All the Light We Cannot See","4.89","Good"
"The Lion, the Witch and the Wardrobe","4.19","Good"
"Green Eggs and Ham","6.39","Good"
"Man's Search for Meaning","7.99","Good"
"The Book Thief","4.69","Good"
"Twilight","9.49","Good"
"Oh, the Thinks You Can Think!","4.19","Good"
"Educated","4.39","Good"
"Lord of the Flies","6.19","Good"
"Anne Frank: The Diary of a Young Girl","18.99","Very Good"
"The Silent Patient","6.69","Good"
"The Power of Now: A Guide to Spiritual Enlightenment","6.49","Good"
"The Nightingale","7.79","Good"
"Before We Were Yours","4.39","Good"
"Brave New World","7.49","Good"
"It Starts with Us","4.89","Good"
"Mere Christianity","6.09","Good"
"Hillbilly Elegy: A Memoir of a Family and Culture in Crisis","5.69","Good"
"Wuthering Heights","5.09","Good"
"Rich Dad, Poor Dad","6.89","Good"
"One Fish, Two Fish, Red Fish, Blue Fish","4.19","Good"
"How the Grinch Stole Christmas!","8.19","Good"
"Harry Potter and the Order of the Phoenix","5.49","Acceptable"
"The Lightning Thief","4.39","Good"
"Nineteen Eighty-Four","9.69","Very Good"
"Harry Potter and the Sorcerer's Stone","7.49","Good"
"To Kill a Mockingbird","16.39","Good"
"Fahrenheit 451","7.49","Good"
"The Hunger Games","4.79","Good"
"Animal Farm: A Fairy Story","6.29","Acceptable"
"The Alchemist","8.19","Good"
"Where the Crawdads Sing","4.89","Good"
"Harry Potter and the Chamber of Secrets","4.29","Good"
"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book","5.69","Good"
"Harry Potter and the Prisoner of Azkaban","5.39","Good"
"It Ends with Us","4.69","Good"
"The Handmaid's Tale","18.59","Like New"
"Catching Fire","6.69","Good"
"The Hobbit","20.79","Good"
"How to Win Friends and Influence People","6.49","Good"
"The Great Gatsby","6.49","Good"
"Verity","5.89","Good"
"Mockingjay","7.69","Acceptable"
"Harry Potter and the Goblet of Fire","10.09","Good"
"Harry Potter and the Deathly Hallows","11.19","Acceptable"
"Charlotte's Web","4.49","Good"
"The Giver","4.99","Good"
"Pride and Prejudice","29.09","Very Good"
"The Seven Husbands of Evelyn Hugo","6.29","Good"
"Harry Potter and the Half-Blood Prince","8.19","Good"
"All the Light We Cannot See","4.89","Good"
"The Lion, the Witch and the Wardrobe","4.19","Good"
"Green Eggs and Ham","6.39","Good"
"Man's Search for Meaning","7.99","Good"
"The Book Thief","4.69","Good"
"Twilight","9.49","Good"
"Oh, the Thinks You Can Think!","4.19","Good"
"Educated","4.39","Good"
"Lord of the Flies","6.19","Good"
"Anne Frank: The Diary of a Young Girl","18.99","Very Good"
"The Silent Patient","6.69","Good"
"The Nightingale","7.79","Good"
"The Power of Now: A Guide to Spiritual Enlightenment","6.49","Good"
"Before We Were Yours","4.39","Good"
"Brave New World","7.49","Good"
"It Starts with Us","4.89","Good"
"Mere Christianity","6.09","Good"
"Hillbilly Elegy: A Memoir of a Family and Culture in Crisis","5.69","Good"
"Wuthering Heights","5.09","Good"
"Rich Dad, Poor Dad","6.89","Good"
"One Fish, Two Fish, Red Fish, Blue Fish","4.19","Good"
